unix_time,datetime,temp_c,arm_clock_hz,throttled
1785057186,2026-07-26 17:13:06,57.9,1800404352,0x80000
1785057188,2026-07-26 17:13:08,58.4,1800457088,0x80000
1785057190,2026-07-26 17:13:10,58.4,700154304,0x80000
1785057192,2026-07-26 17:13:12,57.9,700207040,0x80000
1785057194,2026-07-26 17:13:14,57.9,600117184,0x80000
1785057196,2026-07-26 17:13:16,58.4,600169920,0x80000
1785057198,2026-07-26 17:13:18,57.4,700154304,0x80000
1785057200,2026-07-26 17:13:20,58.4,1100249984,0x80000
1785057202,2026-07-26 17:13:22,56.4,1800457088,0x80000
1785057204,2026-07-26 17:13:24,57.9,1800457088,0x80000
1785057206,2026-07-26 17:13:26,57.4,1800404352,0x80000
1785057208,2026-07-26 17:13:28,56.9,1800457088,0x80000
1785057210,2026-07-26 17:13:30,57.4,1800457088,0x80000
1785057212,2026-07-26 17:13:32,56.4,1800457088,0x80000
1785057214,2026-07-26 17:13:34,56.4,600169920,0x80000
1785057216,2026-07-26 17:13:36,56.4,800191424,0x80000
1785057218,2026-07-26 17:13:38,56.0,600169920,0x80000
1785057220,2026-07-26 17:13:40,55.0,600169920,0x80000
1785057222,2026-07-26 17:13:42,55.5,1800457088,0x80000
1785057224,2026-07-26 17:13:44,56.4,1800457088,0x80000
1785057226,2026-07-26 17:13:46,55.0,700154304,0x80000
1785057228,2026-07-26 17:13:48,55.5,600169920,0x80000
1785057231,2026-07-26 17:13:51,55.5,700207040,0x80000
1785057233,2026-07-26 17:13:53,54.0,800191424,0x80000
1785057235,2026-07-26 17:13:55,54.5,900228544,0x80000
1785057237,2026-07-26 17:13:57,54.0,900228544,0x80000
1785057239,2026-07-26 17:13:59,54.0,1200287104,0x80000
1785057241,2026-07-26 17:14:01,53.5,800191424,0x80000
1785057243,2026-07-26 17:14:03,55.0,1800404352,0x80000
1785057245,2026-07-26 17:14:05,55.5,1800457088,0x80000
1785057247,2026-07-26 17:14:07,54.0,600169920,0x80000
1785057249,2026-07-26 17:14:09,55.0,600169920,0x80000
1785057251,2026-07-26 17:14:11,55.0,600169920,0x80000
1785057253,2026-07-26 17:14:13,53.0,1800457088,0x80000
1785057255,2026-07-26 17:14:15,53.5,1800404352,0x80000
1785057257,2026-07-26 17:14:17,54.0,600169920,0x80000
1785057259,2026-07-26 17:14:19,54.5,700154304,0x80000
1785057261,2026-07-26 17:14:21,54.5,1800457088,0x80000
1785057263,2026-07-26 17:14:23,54.0,1800457088,0x80000
1785057265,2026-07-26 17:14:25,53.0,1800404352,0x80000
1785057267,2026-07-26 17:14:27,53.5,1800457088,0x80000
1785057269,2026-07-26 17:14:29,53.5,1800404352,0x80000
1785057271,2026-07-26 17:14:31,54.5,1800404352,0x80000
1785057273,2026-07-26 17:14:33,52.5,1800404352,0x80000
1785057275,2026-07-26 17:14:35,52.5,1800404352,0x80000
1785057277,2026-07-26 17:14:37,52.1,1800457088,0x80000
1785057279,2026-07-26 17:14:39,52.5,1800457088,0x80000
1785057281,2026-07-26 17:14:41,52.5,1800457088,0x80000
1785057283,2026-07-26 17:14:43,53.0,1800404352,0x80000
1785057285,2026-07-26 17:14:45,52.5,700154304,0x80000
1785057287,2026-07-26 17:14:47,51.6,600169920,0x80000
1785057289,2026-07-26 17:14:49,53.0,1800457088,0x80000
1785057291,2026-07-26 17:14:51,53.0,1800457088,0x80000
1785057293,2026-07-26 17:14:53,53.0,600169920,0x80000
1785057295,2026-07-26 17:14:55,53.0,1800457088,0x80000
1785057297,2026-07-26 17:14:57,52.1,1800404352,0x80000
1785057299,2026-07-26 17:14:59,53.0,1800457088,0x80000
1785057301,2026-07-26 17:15:01,52.1,1000212864,0x80000
1785057303,2026-07-26 17:15:03,51.6,700154304,0x80000
1785057305,2026-07-26 17:15:05,51.1,600169920,0x80000
1785057307,2026-07-26 17:15:08,52.1,1800457088,0x80000
1785057310,2026-07-26 17:15:10,52.1,1800404352,0x80000
1785057312,2026-07-26 17:15:12,51.6,600169920,0x80000
1785057314,2026-07-26 17:15:14,52.1,1800404352,0x80000
1785057316,2026-07-26 17:15:16,51.6,1800457088,0x80000
1785057318,2026-07-26 17:15:18,51.6,600169920,0x80000
1785057320,2026-07-26 17:15:20,50.6,900228544,0x80000
1785057322,2026-07-26 17:15:22,51.6,600117184,0x80000
1785057324,2026-07-26 17:15:24,51.1,600117184,0x80000
1785057326,2026-07-26 17:15:26,50.1,600169920,0x80000
1785057328,2026-07-26 17:15:28,50.6,1800457088,0x80000
1785057330,2026-07-26 17:15:30,51.1,1800457088,0x80000
1785057332,2026-07-26 17:15:32,50.6,1800404352,0x80000
1785057334,2026-07-26 17:15:34,50.6,1800457088,0x80000
1785057336,2026-07-26 17:15:36,49.6,1800404352,0x80000
1785057338,2026-07-26 17:15:38,52.1,1800457088,0x80000
1785057340,2026-07-26 17:15:40,51.1,700154304,0x80000
1785057342,2026-07-26 17:15:42,51.1,1800404352,0x80000
1785057344,2026-07-26 17:15:44,50.6,1800404352,0x80000
1785057346,2026-07-26 17:15:46,50.6,1000265600,0x80000
1785057348,2026-07-26 17:15:48,50.6,900175808,0x80000
1785057350,2026-07-26 17:15:50,51.6,900175808,0x80000
1785057352,2026-07-26 17:15:52,50.1,900228544,0x80000
