timestamp,elapsed_s,cpu_usage_percent,soc_temp_c,avg_frequency_mhz,memory_usage_percent
2026-07-27 22:46:04,1268,3.2,48.7,700.0,18.7
2026-07-27 22:46:05,1269,2.8,49.2,900.0,18.7
2026-07-27 22:46:06,1270,1.7,49.2,600.0,18.7
2026-07-27 22:46:07,1271,3.2,48.2,700.0,18.7
2026-07-27 22:46:08,1272,3.3,48.7,1800.0,18.7
2026-07-27 22:46:09,1273,1.0,49.2,1800.0,18.7
2026-07-27 22:46:10,1274,1.7,49.7,1800.0,18.7
2026-07-27 22:46:11,1275,1.2,48.7,1800.0,18.7
2026-07-27 22:46:12,1276,1.0,49.7,1800.0,18.7
2026-07-27 22:46:13,1277,1.2,48.7,600.0,18.7
2026-07-27 22:46:14,1278,3.2,48.7,600.0,18.7
2026-07-27 22:46:16,1280,3.5,49.7,700.0,18.7
2026-07-27 22:46:17,1281,1.4,49.2,600.0,18.7
2026-07-27 22:46:18,1282,3.2,49.7,1800.0,18.7
2026-07-27 22:46:19,1283,1.5,49.7,1800.0,18.7
2026-07-27 22:46:20,1284,1.0,49.2,1800.0,18.7
2026-07-27 22:46:21,1285,1.4,48.2,1800.0,18.7
2026-07-27 22:46:22,1286,1.4,49.2,1800.0,18.7
2026-07-27 22:46:23,1287,1.2,49.7,750.0,18.6
2026-07-27 22:46:24,1288,2.8,49.7,600.0,18.6
2026-07-27 22:46:25,1289,3.5,49.2,1800.0,18.6
2026-07-27 22:46:26,1290,1.0,48.7,1800.0,18.7
2026-07-27 22:46:27,1291,1.2,49.7,1800.0,18.7
2026-07-27 22:46:28,1292,1.4,49.2,1800.0,18.7
2026-07-27 22:46:29,1293,1.0,48.7,1800.0,18.7
2026-07-27 22:46:30,1294,1.7,48.2,800.0,18.7
2026-07-27 22:46:31,1295,3.3,49.2,600.0,18.6
2026-07-27 22:46:32,1296,3.2,49.7,1800.0,18.7
2026-07-27 22:46:33,1297,1.2,49.2,1800.0,18.6
2026-07-27 22:46:34,1298,1.2,48.7,1800.0,18.6
2026-07-27 22:46:35,1299,1.7,49.2,1800.0,18.6
2026-07-27 22:46:37,1300,1.2,48.7,1800.0,18.7
2026-07-27 22:46:38,1302,1.2,48.7,700.0,18.6
2026-07-27 22:46:39,1303,3.3,49.2,750.0,18.6
2026-07-27 22:46:40,1304,2.3,49.2,600.0,18.6
2026-07-27 22:46:41,1305,3.5,49.2,1800.0,18.6
2026-07-27 22:46:42,1306,1.4,48.7,1800.0,18.6
2026-07-27 22:46:43,1307,1.0,49.2,1800.0,18.6
