unix_time,datetime,total_percent,cpu0_percent,cpu1_percent,cpu2_percent,cpu3_percent
1785058176,2026-07-26 17:29:36,1.9,2.0,0.5,2.0,3.5
1785058178,2026-07-26 17:29:38,2.4,3.5,2.0,1.5,3.0
1785058180,2026-07-26 17:29:40,1.9,0.5,0.0,1.5,4.5
1785058182,2026-07-26 17:29:42,1.3,0.0,2.0,0.0,3.0
1785058184,2026-07-26 17:29:44,1.6,1.5,3.0,1.0,1.0
1785058186,2026-07-26 17:29:46,3.8,2.0,3.0,4.5,5.1
1785058189,2026-07-26 17:29:49,2.6,2.0,1.5,3.0,4.0
1785058191,2026-07-26 17:29:51,2.8,2.5,3.5,2.0,3.5
1785058193,2026-07-26 17:29:53,3.8,7.0,2.0,1.5,5.5
1785058195,2026-07-26 17:29:55,3.0,3.5,2.0,3.5,3.0
1785058197,2026-07-26 17:29:57,3.1,3.0,1.0,4.0,4.0
1785058199,2026-07-26 17:29:59,3.2,4.5,3.0,2.0,3.5
1785058201,2026-07-26 17:30:01,1.9,1.0,1.5,0.5,4.5
1785058203,2026-07-26 17:30:03,1.5,0.0,1.5,1.0,3.0
1785058205,2026-07-26 17:30:05,1.5,1.0,2.5,0.5,2.0
1785058207,2026-07-26 17:30:07,3.8,1.5,1.0,4.5,8.5
1785058209,2026-07-26 17:30:09,2.9,2.5,1.5,4.0,3.0
1785058211,2026-07-26 17:30:11,2.5,1.5,1.0,4.0,3.5
1785058213,2026-07-26 17:30:13,3.5,4.0,2.5,4.0,5.0
1785058215,2026-07-26 17:30:15,3.1,3.5,1.5,3.5,3.0
1785058217,2026-07-26 17:30:17,2.9,5.0,1.0,2.0,4.0
1785058219,2026-07-26 17:30:19,1.2,1.5,1.5,1.0,1.0
1785058221,2026-07-26 17:30:21,1.3,1.5,0.5,0.5,2.5
1785058223,2026-07-26 17:30:23,3.5,5.0,2.0,3.5,3.0
1785058225,2026-07-26 17:30:25,2.8,3.0,1.5,5.0,1.5
1785058227,2026-07-26 17:30:27,3.5,3.0,1.0,6.5,3.5
1785058229,2026-07-26 17:30:29,1.1,0.0,1.0,3.5,1.0
1785058231,2026-07-26 17:30:31,1.1,1.0,1.0,1.5,0.5
1785058233,2026-07-26 17:30:33,3.3,1.0,3.5,7.5,1.0
